rank,username,address,pnl_usd,volume_usd,x_username,verified,period,category
1,Inaccuratestake,0xf8831548531d56ad6a4331493243c447a827cd1f,1361798.8312690048,7995901.829971001,,False,WEEK,OVERALL
2,afghj2421,0xb91aeb5accc33a5f9a8615b8ed6b2d352e913987,771217.4223720824,3116779.2699399996,,False,WEEK,OVERALL
3,downtownfee,0xbee54d90051720e27921dc6874f02d646ffca636,718625.1624578992,2715285.76336,,False,WEEK,OVERALL
4,JewishNinja,0xa380c504a480f591c7dfbf9944fac3994b9b21ff,505305.51749999996,802072.25,,False,WEEK,OVERALL
5,Countryside,0xbddf61af533ff524d27154e589d2d7a81510c684,419853.2337468914,40714099.634573,,False,WEEK,OVERALL
6,VPenguin,0xfbf3d501e88815464642d0e913f15379c3eeb218,382696.44916765485,1658535.652667,Vlad_kori,False,WEEK,OVERALL
7,ferrariChampions2026,0xfe787d2da716d60e8acff57fb87eb13cd4d10319,365074.59452120867,18150444.508956,,False,WEEK,OVERALL
8,Tiger200,0x6211f97a76ed5c4b1d658f637041ac5f293db89e,356471.0136,815699.068902,,False,WEEK,OVERALL
9,Talvez10,0xa71093cafc0c099b4ccab24c3cb8018d817923c4,274813.90953692957,1394287.7917230001,,False,WEEK,OVERALL
10,0x5966Db1fE50763C9e3C014d756369BAd07E1F804-1777648534241,0x5966db1fe50763c9e3c014d756369bad07e1f804,246822.82219876442,2116439.5069609997,,False,WEEK,OVERALL
